stipatio,kümeleme
affirmatio,Açıklama
stativus,Statik
immotus,Unmoved
rationariu.,İstatistik.
statua,heykel hey.
mansio,ziyareti z.
chalybs,Çelik Çeli.
chalybéjus,Çelik Çeli.
stelláris,Yıldız
noverca,stepmother
privignus,adımlar
stereótypu.,stereotip .
sterilis,steril
sterilitas,sterilizas.
báculum,sopa
adhuc,Hala hala .
fóétidus,Burning
stápia,Sorup
punctum,dik dik di.
Stoicus,Stoic
Stoicismus,Stoicism
stola,Şarkı çalı.
siste!,Dur!
taberna,mağaza mağ.
fabula,hikaye hik.
váricus,straddler
nixus,Kazım
lorum,Profil
pálea, straw
vena,çizgileri
strictus,sıkı sıkı .
discordia,Tartışma
operistiti.,Grev grevi.
linum,dize
consectati.,çabala müc.
valide,güçlü bir .
studens,Öğrenci Öğ.
scholicus,Öğrenci Öğ.
stúpidus,aptal apta.
balbútio,AMA
subcultura,Subcultura
servitium,Konu
malesanus,subnormal .
subnotator,abone
subscriptu.,Subscript .
ínsequens,Sonraki So.
subaggrega.,Subset
subsidium,sübvansiyo.
subsistens,Subsistent
substantia,Madde Madd.
substratum,substratla.
súbtilis,İnce ince
suburbium,banliyö ba.
suburbanus,banliyö
successio,Başarı
continuus,Başarı
successor,Rene Rene
talis,Böyle böyl.
talitas,Bu şekilde
subitus,aniden ani.
súbito,aniden ani.
dolorosus,Acı çeken .
miseriae,Acı çeken .
sáccharum,Şeker
capitulati.,Summly
summarium,Özet Özet .
aestivus,yaz yaz ya.
ápricus,güneşli gü.
tollo,supersede
superinten.,Danışman y.
cena,Supper
fulciens,destekleyi.
pone, sup
exploratum,emin emin .
certe!,Emin olun!
certe,Şüphesiz k.
superficia.,yüzey yüze.
chirúrgia,cerrahi ce.
superreali.,Gerçekçili.
succedaneu.,exrogate
superviven.,hayatta ka.
supérstes,hayatta ha.
suspectus,şüpheli şü.
suspicax,şüpheli şü.
Suetus,Swede
Suetia,İsveç İsve.
Sueticus,İsveç İsve.
dulcedo,Tatlılık
Helveticus,İsviçre İs.
mutatrum,Geçiş
túmidus,şişirme şi.
juratus,Yemin eder.
syllogismu.,syllogism
symbolicus,sembolik s.
symbolismu.,Sembolizm
sympathía,sempati
symposium,sempozyum .
sýnchronus,senkroniza.
syncretism.,senkroniza.
synónymum,eş anlamlı
synonymus,sinonymous
syntacticu.,sintactic
syntheticu.,Sentetik s.
Syríacus,Suriye
systematic.,sistematik.
tabacum,Tabacco
mensa,Masa masas.
tacite,tacitly
vestítor,tereyağ
susceptio,Takeover
garrulus,Konuşma
implicatio,tangle
Taoismus,Taoism
taenia,kaset kase.
tautologia,tautoloji
vestíficus,taylor
thea,çay çayı
dócilis,Öğretilebi.
doctor,öğretmen ö.
didascalic.,öğretim öğ.
turma,takım takı.
artis,teknik tek.
technologi.,Teknoloji .
teleologia,teleoloji
telephonic.,telefon te.
telescopiu.,teleskop t.
televisio,televizyon.
televisífi.,televizyon.
templum,tapınak ta.
temporalis,Geçici geç.
temptatio,De ki:
credíbile,10
teniludium,tenis teni.
tempus,while whil.
tentorium,çadır çadı.
terrorismu.,Terör terö.
terrorista,terörist t.
terrorísti.,terörist t.
Texianus,Texan
Texia,Texas
theatralis,Theatrical
furtum,hırsızlığı.
theismus,Theism
tunc,O zaman so.
illinc,oradan
theocrátia,Theocracy
theocratic.,Theocratic
theodicéa,Theodicy
theológia,toloji
theophánia,Theophany
theória,teori teor.
therapia,Terapi ter.
exinde,Daha sonra.
fur,hırsız hır.
subtílis,İnce ince .
cogitabili.,düşünebili.
hodie,Bugün bugü.
haecceitas,Bulik
Thomismus,Thomism
ínteger,Kapsamlı k.
cogitatio,Düşüncenin.
cogitabund.,düşünceli .
minatio,tehdit teh.
formidulos.,Heyecan ve.
téssera,izle
tégula,karo
intemporal.,Zamansız z.
tempestivi.,Zaman çize.
tempestivu.,zamanında .
alio,toklanmak .
propinatio,tost
conjuncti,Birlikte b.
sédulo,Toil
aerumna,Toil
latrina,tuvalet tu.
toleration,tolerasyon
cras,yarın yarı.
quoque,Ayrıca da .
ferramentu.,alet aracı
topographi.,Topography
summa,Toplam top.
turismus,Turizm tur.
turisticus,turist
erga,doğruya do.
manutergiu.,Towel
toxicologi.,Toksikoloj.
lúdicrum,toy
vestigium,izi izler
traditio,Gelen gele.
tragóédia,trajedi tr.
excriptum,transkript.
transexual.,transeksüe.
transvecti.,transfer t.
transitori.,Geçici geç.
transitivu.,transit
viator,Traveler
perfidia,treachery
motus,trend tren.
natio,kabile kab.
titivillit.,trifle
triplex,üçlü üçlü .
trivialis,önemsiz
caterva,troop
tropicus,tropica
verus,Gerçek ger.
fiducia,Güven güve.
veritas,Gerçek Ger.
veritatis,Gerçek Ger.
verax,Doğru doğr.
conatum,Deneyin
túbulus,tüpü
tumor,tümör
Turca,Türk Türk .
Túrcia,Türkiye Tü.
conversio,dönüş
vicissitud.,ciro
crepusculu.,twilight
bivalens,İki değerl.
typographi.,türü türü .
typicus,Tipik tipi.
omnipraese.,ubiquity
foedus,çirkin çir.
ultimitas,ultimacy
postremus,Nihai Niha.
definitive,En nihayet.
umbilicari.,umurumda
umbella,şemsiye şe.
sollicitus,Uncanny
inexplorat.,Unchecked
sub,alt alt al.
subúcula,İç iç iç i.
immeritus,Görmedi
ineducatus,Eğitimsiz
iniquus,eşitsiz eş.
iniquitas,eşitsizlik
inprovisus,Beklenmeye.
explicatio,ortaya çık.
improvisus,Unforeseen
necopinatu.,Unforeseen
expedítus,Unhindered
aequabilis,üniforma
aequabilit.,üniforma
unificus,Uning
unice,eşsiz bir .
universali.,evrensel e.
universita.,Üniversite.
unívocus,Univocal
univocitas,Şehirsiz
injustus,Haklı adal.
injuste,Haklı olar.
ignorantia,Hayır
ignotus,Bilinmeyen.
innominatu.,Unnamed
ingratus,nahoş hoş .
indemonstr.,Unproven
irrealis,Gerçek olm.
inconcussu.,Unshaken
insolubili.,Bilinmeyen
insolutus,çözülmemiş.
indefensib.,güvenilmez
inustitatu.,olağandışı.
invitus,isteksiz
eversio,upheaval
elegantes,Upscale
sursum,yukarı
urbanus,kentsel şe.
urbanitas,Kentsellik
instanter,acilen aci.
usus,use use us.
utens,kullanıcı .
utilitas,faydalı ya.
utopia,ütopya
vagus,belirsiz b.
obscuritas,Belirsizli.
vanus,Boş boş bo.
valentia,valence
ratus,Geçerli ge.
validitas,Geçerlilik.
válvula,valf
variabilis,değişken d.
varietas,Çeşitli çe.
varie,Çeşitli çe.
magnetosco.,VCR
vehiculum,Araç aracı
vehiculari.,Araç aracı
venerabili.,Venerable
Venetíola,Venezuela
Venetiolan.,Venezuela
verbalis,sözlü sözl.
ádmodum,çok çok ço.
vétitum,Veto
Phíala,vial
vicarius,vicar
vicarianus,vicarious
proregius,yardımcısı
prorex,Viceroy ya.
víctima,Kurban kur.
victor,zafere kar.
videotaeni.,video
spectator,viewer
vigilium,vigil
violatio,ihlal ihla.
violentus,Şiddetli ş.
violina,keman kema.
viralis,viral vira.
virtualis,Sanal Sana.
propémodum,neredeyse .
virtuosus,virt
visibilis,görünür gö.
visualis,görsel gör.
vitalis,hayati hay.
vitalismus,Medeniyet
vitaminum,Vitamin vi.
vocativus,vocative
sonórus,Seslendi
vulcanus,volkan vol.
voluntariu.,Gönüllü gö.
vuduismus,voodooism
suffragium,oy oylama .
scopophili.,voyeurism
plebejus,vulgar
turpitudo,vulgarity
plaustrum,waggon
Vallia,Galler Gal.
bellígerus,Savaş gibi
confirmatu.,Yemin eder.
profusio,Atık atık
pródigus,Uygun
modus,Yol yolu
imbecíllus,Zayıf zayı.
enervation,zayıflamak.
deterior,Daha zayıf.
imbecillit.,Zayıflık z.
curator,webmaster
hebdomadal.,haftalık h.
acceptus,Hoşgeldini.
opitulatio,refah refa.
salvus,İyi iyi
occidental.,batı batı .
mádidus,ıslak ısla.
balaena,balina
quando,Ne zaman z.
unde,Nereden
quandocumq.,Ne zaman n.
ubi,nerede ner.
quo,viski
ubicumque,Nerede ner.
vischium,viski
exsibilati.,ıslık
albus,beyaz beya.
totum,Bütün bütü.
integre,Tamamen ta.
late,yaygın yay.
volúntas,Will will .
Guilelmus,William Wi.
libens,istekli is.
volitio,istekli is.
libenter,istekli ol.
fenestra,Pencere pe.
hiemalis,kış kış kı.
filum,tel tel te.
sapientia,bilgelik b.
sapiential.,bilgelik b.
sapiens,bilge bilg.
venéfica,cadı cadı
sine,olmadan ol.
mulierariu.,kadınizer
lignum,Ahşap ahşa.
ligneus,Ahşap ahşa.
opus,İş işleri
labor,İş işleri
officina,Atölye atö.
mundialis,Dünya çapı.
mundanus,Dünyaca
sollícitus,Endişeli e.
pejor,Daha kötüs.
cultor,Selam olsu.
inanis,değersiz
radii-x,x-rays
xenóphobus,xenophobe
xenophobia,xenfobi
quotannis,Yıl
flavus,sarı sarı .
ita,evet evet
heri,Dün dün dü.
cessio,verim verm.
júvenis,genç genç .
zebra,zebra
vivarium,Bahçe hayv.
zoologia,zooloji
zygótum,zygote
