stipatio,Cluster
ignorantia,Unwissenhe.
ignotus,unbekannt
innominatu.,ohne Namen
ingratus,Unvollkomm.
indemonstr.,Unprovinz
irrealis,unrealisti.
inconcussu.,Unerschütt.
insolubili.,unlösbar
insolutus,ungelöst
indefensib.,unhaltbar
inustitatu.,ungewöhnli.
invitus,nicht bere.
eversio,Hochregal
elegantes,Höhe
sursum,nach oben
urbanus,Stadt
urbanitas,Stadt
instanter,dringend
usus,Verwendung
utens,Benutzer
utilitas,Dienstprog.
utopia,Utopie
vagus,Völlig
obscuritas,Vagemut
vanus,Valin
valentia,Valenz
ratus,gültig
validitas,Gültigkeit
válvula,Ventil
variabilis,Variable
varietas,Sorte
varie,verschiede.
magnetosco.,VCR
vehiculum,Fahrzeug
vehiculari.,Fahrzeug
venerabili.,umweltfreu.
Venetíola,Venezuela
Venetiolan.,Venezuela
verbalis,Samen
ádmodum,sehr
vétitum,Veto
Phíala,Vial
vicarius,Vikar
vicarianus,vikarisch
proregius,Lastschrif.
prorex,VORSITZ
víctima,Opfer
victor,siegreich
videotaeni.,Videotape
spectator,Blick
vigilium,Wacholder
violatio,Verletzung
violentus,Gewalt
violina,Violine
viralis,virale
virtualis,virtuelle
propémodum,praktisch
virtuosus,glasklar
visibilis,sichtbar
visualis,Sehnsucht
vitalis,Vitalität
vitalismus,Vitalität
vitaminum,Vitamin
vocativus,vocative
sonórus,gesungen
vulcanus,Vulkan
voluntariu.,Freiwillig.
vuduismus,Woodooismu.
suffragium,Abstimmung
scopophili.,voyeurism
plebejus,vulgarisch
turpitudo,Vulgarien
plaustrum,Nacken
Vallia,Vereinigte.
bellígerus,war wie
confirmatu.,Zulässig
profusio,Abfälle
pródigus,Abfall
modus,Weg
imbecíllus,schwach
enervation,Schwächung
deterior,schwächer
imbecillit.,Schwäche
curator,Webmaster
hebdomadal.,wöchentlic.
acceptus,Willkommen
opitulatio,Sozialschu.
salvus,gut
occidental.,Westen
mádidus,nass
balaena,Wal
quando,wenn
unde,Wobei
quandocumq.,Wann immer
ubi,wenn
quo,...
ubicumque,Wobei
vischium,Whiskey
exsibilati.,Pfeifen
albus,Weiß
totum,Gesamt
integre,ganz
late,weit verbr.
volúntas,wird
Guilelmus,William
libens,bereiten
volitio,bereiten
libenter,bereitwill.
fenestra,Fenster
hiemalis,Winter
filum,Draht
sapientia,Weisheit
sapiential.,Weisheit
sapiens,klug
venéfica,Hexe
sine,ohne
mulierariu.,Frauen
lignum,Holz
ligneus,Holz
opus,Arbeit
labor,Arbeit
officina,Werkstatt
mundialis,weltweit
mundanus,weltweit
sollícitus,besorgt
pejor,!
cultor,Anbetung
inanis,wertlos
radii-x,Röntgenstr.
xenóphobus,Xenophobe
xenophobia,Fremdenfei.
quotannis,jährlich
flavus,Gelb
ita,Ja.
heri,Gestern
cessio,Ausbeute
júvenis,Jugendlich.
zebra,Zebra
vivarium,Tier
zoologia,Zoologie
zygótum,Zygot
